file,toolchain,mode,build_cold_s,build_warm_s,size_bytes,run_s,vm_exit,bin_exit,output_match
tests/fixtures/syntax/empty_infer.zz,new,default,1.509,0.067,174360,0.012,0,0,yes
tests/fixtures/syntax/empty_infer.zz,new,p,2.684,0.067,18768,0.012,0,0,yes
tests/fixtures/syntax/const.zz,base,default,4.669,0.070,26056,0.013,0,0,yes
tests/fixtures/syntax/const.zz,base,p,2.100,0.065,22840,0.014,0,0,yes
tests/fixtures/syntax/const.zz,new,default,1.663,0.062,168280,0.012,0,0,yes
tests/fixtures/syntax/const.zz,new,p,3.150,0.078,18768,0.015,0,0,yes
tests/fixtures/syntax/closure_annotations.zz,base,default,4.948,0.070,30712,0.012,0,0,NO(exit=0)
tests/fixtures/syntax/closure_annotations.zz,base,p,2.049,0.064,22832,0.014,0,0,NO(exit=0)
tests/fixtures/syntax/closure_annotations.zz,new,default,1.480,0.068,173800,0.014,0,0,NO(exit=0)
tests/fixtures/syntax/closure_annotations.zz,new,p,2.690,0.072,18760,0.013,0,0,NO(exit=0)
tests/fixtures/syntax/hof.zz,base,default,4.841,0.069,43680,0.014,0,0,yes
tests/fixtures/syntax/hof.zz,base,p,4.057,0.075,59712,0.014,0,0,yes
tests/fixtures/syntax/hof.zz,new,default,1.465,0.064,183152,0.012,0,0,yes
tests/fixtures/syntax/hof.zz,new,p,2.903,0.069,26968,0.014,0,0,yes
tests/fixtures/syntax/function_types.zz,base,default,4.756,0.067,39224,0.012,0,0,NO(exit=0)
tests/fixtures/syntax/function_types.zz,base,p,3.245,0.068,47416,0.014,0,0,NO(exit=0)
tests/fixtures/syntax/function_types.zz,new,default,1.496,0.071,178616,0.014,0,0,NO(exit=0)
tests/fixtures/syntax/function_types.zz,new,p,2.825,0.068,22864,0.012,0,0,NO(exit=0)
tests/fixtures/syntax/defer.zz,base,default,4.642,0.069,21704,0.013,0,0,yes
tests/fixtures/syntax/defer.zz,base,p,2.166,0.066,22840,0.014,0,0,yes
tests/fixtures/syntax/defer.zz,new,default,1.414,0.070,164800,0.013,0,0,yes
tests/fixtures/syntax/defer.zz,new,p,2.656,0.064,18768,0.013,0,0,yes
